"","Strain","Wound","N","Mean","Median","SD","SE","Range"
"1","Canada","Septic",10,18,20,12.29,3.8873012632302,"0-40"
"2","Canada","Sterile",10,2,0,4.22,1.33333333333333,"0-10"
"3","France","Septic",10,8,5,10.33,3.2659863237109,"0-30"
"4","France","Sterile",10,2,0,4.22,1.33333333333333,"0-10"
"5","Germany","Septic",10,17,20,10.59,3.34995854037363,"0-40"
"6","Germany","Sterile",10,7,5,8.23,2.60341655863555,"0-20"
"7","Greece","Septic",10,27,25,18.29,5.78311719096582,"10-70"
"8","Greece","Sterile",10,4,0,5.16,1.63299316185545,"0-10"
"9","Italy 1","Septic",10,32,30,13.98,4.42216638714053,"10-50"
"10","Italy 1","Sterile",10,7,10,6.75,2.13437474581095,"0-20"
"11","Italy 2","Septic",10,24,20,13.5,4.2687494916219,"10-50"
"12","Italy 2","Sterile",10,3,0,6.75,2.13437474581095,"0-20"
"13","Norway 1","Septic",10,33,30,14.18,4.48454134902457,"20-60"
"14","Norway 1","Sterile",10,10,0,18.86,5.96284793999944,"0-60"
"15","Norway 2","Septic",10,23,20,8.23,2.60341655863555,"10-40"
"16","Norway 2","Sterile",10,5,5,5.27,1.66666666666667,"0-10"
"17","Spain","Septic",10,30,20,23.57,7.4535599249993,"0-70"
"18","Spain","Sterile",10,13,15,12.52,3.95811402901264,"0-30"
"19","Turkey","Septic",10,17,15,13.37,4.22952584681651,"0-40"
"20","Turkey","Sterile",10,5,0,7.07,2.23606797749979,"0-20"
